codigo,score,tipo
FOFT11,3.3,fundo de fundos
CPFF11,3.3,fundo de fundos
KISU11,3.2,fundo de fundos
RVBI11,3.0,fundo de fundos
RECX11,2.9,fundo de fundos
CRFF11,2.9,fundo de fundos
IBFF11,2.7,fundo de fundos
AFOF11,2.3,fundo de fundos
GCFF11,1.8,fundo de fundos
QMFF11,1.0,fundo de fundos
QIFF11,0,fundo de fundos
NAVT11,0,fundo de fundos
MCHF11,0,fundo de fundos
ITIT11,0,fundo de fundos
ITIP11,0,fundo de fundos
IFID11,0,fundo de fundos
DVFF11,0,fundo de fundos
TGAR11,4.3,fundo de desenvolvimento
HCST11,4.3,fundo de desenvolvimento
MFII11,4.2,fundo de desenvolvimento
KNRE11,3.5,fundo de desenvolvimento
HUSC11,3.4,fundo de desenvolvimento
RBDS11,3.1,fundo de desenvolvimento
RBIR11,3.0,fundo de desenvolvimento
HRDF11,3.0,fundo de desenvolvimento
DMAC11,2.9,fundo de desenvolvimento
RBTS11,2.8,fundo de desenvolvimento
RSPD11,2.6,fundo de desenvolvimento
RBBV11,2.4,fundo de desenvolvimento
CARE11,1.8,fundo de desenvolvimento
BRIP11,1.0,fundo de desenvolvimento
TELD11,0,fundo de desenvolvimento
RCFF11,0,fundo de desenvolvimento
RBRI11,0,fundo de desenvolvimento
KINP11,0,fundo de desenvolvimento
HGRS11,0,fundo de desenvolvimento
ERCR11,0,fundo de desenvolvimento
BTSG11,0,fundo de desenvolvimento
